"URI","country","elev","latitude","longitude","name","region","type"
"http://localhost:9091/project/volcanos/source/56","Indonesia","3173","-4.03E0","1.0313E2","Dempo","Sumatra","Stratovolcano"
"http://localhost:9091/project/volcanos/source/55","Antarctica","576","-6.297E1","-6.065E1","Deception Island","Antarctica","Caldera"
"http://localhost:9091/project/volcanos/source/54","Tonga","-33","-1.562E1","-1.7367E2","Curacoa","Tonga-SW Pacific","Submarine volcano"
"http://localhost:9091/project/volcanos/source/53","Chile","2965","-3.785E1","-7.117E1","Copahue","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/52","Nicaragua","1700","1.1538E1","-8.5622E1","Concepcion","Nicaragua","Stratovolcano"
"http://localhost:9091/project/volcanos/source/51","Indonesia","507","..17E-1","1.21608E2","Colo [Una Una]","Sulawesi-Indonesia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/50","Mexico","3850","1.9514E1","-1.0362E2","Colima","Mexico","Stratovolcano"
"http://localhost:9091/project/volcanos/source/5","Japan","1499","4.338E1","1.4402E2","Akan","Hokkaido-Japan","Caldera"
"http://localhost:9091/project/volcanos/source/49","Pacific Ocean","-2400","4.652E1","-1.2958E2","CoAxial Segment","Pacific-NE","Submarine volcano"
"http://localhost:9091/project/volcanos/source/48","United States","1730","5.282E1","-1.6995E2","Cleveland","Aleutian Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/47","Pacific Ocean","-2140","4.483E1","-1.303E2","Cleft Segment","Pacific-NE","Submarine volcano"
"http://localhost:9091/project/volcanos/source/46","Japan","2237","3.908E1","1.4003E2","Chokai","Honshu-Japan","Stratovolcano"
"http://localhost:9091/project/volcanos/source/45","Russia","742","4.6525E1","1.50875E2","Chirpoi","Kuril Is","Caldera"
"http://localhost:9091/project/volcanos/source/44","Russia","724","4.898E1","1.5348E2","Chirinkotan","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/43","Chile","3212","-3.6863E1","-7.1377E1","Chillan, Nevados de","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/420","Russia","2958","5.359E1","1.59147E2","Zhupanovsky","Kamchatka","Compound volcano"
"http://localhost:9091/project/volcanos/source/42","Russia","1816","5.0325E1","1.55458E2","Chikurachki","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/419","Taiwan","-418","2.618E1","1.22458E2","Zengyu","Taiwan-N of","Submarine volcano"
"http://localhost:9091/project/volcanos/source/418","Russia","624","4.6925E1","1.5195E2","Zavaritzki Caldera","Kuril Is","Caldera"
"http://localhost:9091/project/volcanos/source/417","Japan","1841","3.815E1","1.4045E2","Zao","Honshu-Japan","Complex volcano"
"http://localhost:9091/project/volcanos/source/416","United States","550","5.263E1","-1.7063E2","Yunaska","Aleutian Is","Shield volcano"
"http://localhost:9091/project/volcanos/source/415","United States","4317","6.2E1","-1.4402E2","Wrangell","Alaska-E","Shield volcano"
"http://localhost:9091/project/volcanos/source/414","Papua New Guinea","640","-9.57E0","1.49075E2","Waiowa","New Guinea","Pyroclastic cone"
"http://localhost:9091/project/volcanos/source/413","Rwanda","3711","-1.47E0","2.9492E1","Visoke","Africa-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/412","Papua New Guinea","1925","-9.2E0","1.4907E2","Victory","New Guinea","Stratovolcano"
"http://localhost:9091/project/volcanos/source/411","Italy","1281","4.0821E1","1.4426E1","Vesuvius","Italy","Complex volcano"
"http://localhost:9091/project/volcanos/source/410","Tonga","0","-2.107E1","-1.7533E2","Unnamed","Tonga-SW Pacific","Not Volcanic"
"http://localhost:9091/project/volcanos/source/41","United States","2075","5.713E1","-1.57E2","Chiginagak","Alaska Peninsula","Stratovolcano"
"http://localhost:9091/project/volcanos/source/409","Russia","-150","4.808E1","1.5333E2","Unnamed","Kuril Is","Submarine volcano"
"http://localhost:9091/project/volcanos/source/408","Tonga","-500","-2.138E1","-1.7565E2","Unnamed","Tonga-SW Pacific","Submarine volcano"
"http://localhost:9091/project/volcanos/source/407","United States","-4000","2.358E1","-1.6383E2","Unnamed","Hawaiian Is","Submarine volcano"
"http://localhost:9091/project/volcanos/source/406","Arctic Ocean","-1500","8.827E1","-6.56E1","Unnamed","Arctic Ocean","Submarine volcano"
"http://localhost:9091/project/volcanos/source/405","Peru","5815","-1.7025E1","-7.0358E1","Tutupaca","Peru","Stratovolcano"
"http://localhost:9091/project/volcanos/source/404","Ethiopia","2349","8.158E0","3.913E1","Tullu Moje","Africa-NE","Pumice cone"
"http://localhost:9091/project/volcanos/source/403","Atlantic Ocean","2060","-3.7092E1","-1.228E1","Tristan da Cunha","Atlantic-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/402","Colombia","5200","4.67E0","-7.533E1","Tolima","Colombia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/401","Tonga","512","-1.975E1","-1.7507E2","Tofua","Tonga-SW Pacific","Caldera"
"http://localhost:9091/project/volcanos/source/400","Chile","4280","-3.4814E1","-7.0352E1","Tinguiririca","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/40","Mexico","1150","1.736E1","-9.3228E1","Chichon, El","Mexico","Tuff cone"
"http://localhost:9091/project/volcanos/source/4","Russia","1180","5.398E1","1.5945E2","Akademia Nauk","Kamchatka","Stratovolcano"
"http://localhost:9091/project/volcanos/source/399","Iceland","1659","6.227E1","-1.76E1","Thordarhyrna","Iceland-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/398","Pacific Ocean","655","-6.92E0","1.29125E2","Teon","Banda Sea","Stratovolcano"
"http://localhost:9091/project/volcanos/source/397","Spain","3715","2.8271E1","-1.6641E1","Tenerife","Canary Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/396","Indonesia","2624","4.77E0","9.6808E1","Telong, Bur Ni","Sumatra","Stratovolcano"
"http://localhost:9091/project/volcanos/source/395","Russia","1325","4.935E1","1.547E2","Tao-Rusyr Caldera","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/394","Indonesia","2438","..433E-1","1.00317E2","Tandikat","Sumatra","Stratovolcano"
"http://localhost:9091/project/volcanos/source/393","United States","1806","5.188E1","-1.7813E2","Tanaga","Aleutian Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/392","Indonesia","1000","-5.25E0","1.0427E2","Suoh","Sumatra","Maar"
"http://localhost:9091/project/volcanos/source/391","Indonesia","2507","-2.414E0","1.01728E2","Sumbing","Sumatra","Stratovolcano"
"http://localhost:9091/project/volcanos/source/390","United States","270","-2.38E0","1.4735E2","St. Andrew Strait","Admiralty Is-SW Paci","Complex volcano"
"http://localhost:9091/project/volcanos/source/39","Chile","962","-4.2833E1","-7.2646E1","Chaiten","Chile-S","Caldera"
"http://localhost:9091/project/volcanos/source/389","Philippines","2090","1.9523E1","1.2194E2","Smith Volcano","Luzon-N of","Stratovolcano"
"http://localhost:9091/project/volcanos/source/388","Japan","136","3.132E1","1.4005E2","Smith Rock","Izu Is-Japan","Submarine volcano"
"http://localhost:9091/project/volcanos/source/387","Japan","1563","4.413E1","1.4517E2","Shiretoko-Iwo-zan","Hokkaido-Japan","Stratovolcano"
"http://localhost:9091/project/volcanos/source/386","Pacific Ocean","641","-6.3E0","1.3E2","Serua","Banda Sea","Stratovolcano"
"http://localhost:9091/project/volcanos/source/385","Samoa","1858","-1.3612E1","-1.72525E2","Savai'i","Samoa-SW Pacific","Shield volcano"
"http://localhost:9091/project/volcanos/source/384","Greece","329","3.6404E1","2.5396E1","Santorini","Greece","Shield volcano"
"http://localhost:9091/project/volcanos/source/383","Ecuador","920","..22E-1","-9.077E1","Santiago","Galapagos","Shield volcano"
"http://localhost:9091/project/volcanos/source/382","Equatorial Guinea","2972","3.58E0","8.75E0","Santa Isabel","Africa-W","Shield volcano"
"http://localhost:9091/project/volcanos/source/381","El Salvador","2365","1.3853E1","-8.963E1","Santa Ana","El Salvador","Stratovolcano"
"http://localhost:9091/project/volcanos/source/380","El Salvador","1893","1.3736E1","-8.9286E1","San Salvador","El Salvador","Stratovolcano"
"http://localhost:9091/project/volcanos/source/38","Chile","1114","-4.035E1","-7.207E1","Carran-Los Venados","Chile-C","Pyroclastic cone"
"http://localhost:9091/project/volcanos/source/379","Chile","6145","-2.188E1","-6.84E1","San Pedro","Chile-N","Stratovolcano"
"http://localhost:9091/project/volcanos/source/378","El Salvador","2381","1.3853E1","-8.963E1","San Marcelino","El Salvador","Stratovolcano"
"http://localhost:9091/project/volcanos/source/377","Argentina","5856","-3.3782E1","-6.9897E1","San Jose","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/376","Portugal","1053","3.865E1","-2.808E1","San Jorge","Azores","Fissure vent"
"http://localhost:9091/project/volcanos/source/375","Indonesia","2211","-6.72E0","1.0673E2","Salak","Java","Stratovolcano"
"http://localhost:9091/project/volcanos/source/374","Indonesia","725","2.28E0","1.25425E2","Ruang","Sangihe Is-Indonesia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/373","Russia","956","4.777E1","1.5302E2","Rasshua","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/372","Russia","551","4.8292E1","1.5325E2","Raikoke","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/371","Philippines","2815","7.67E0","1.245E2","Ragang","Mindanao-Philippines","Stratovolcano"
"http://localhost:9091/project/volcanos/source/370","Antarctica","-27","-5.592E1","-2.808E1","Protector Shoal","Antarctica","Submarine volcano"
"http://localhost:9091/project/volcanos/source/37","Philippines","2435","1.0412E1","1.23132E2","Canlaon","Philippines-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/369","Ecuador","780","5.8E-1","-9.075E1","Pinta","Galapagos","Shield volcano"
"http://localhost:9091/project/volcanos/source/368","Nicaragua","1088","1.2495E1","-8.6688E1","Pilas, Las","Nicaragua","Complex volcano"
"http://localhost:9091/project/volcanos/source/367","Antarctica","180","-6.21E1","-5.793E1","Penguin Island","Antarctica","Stratovolcano"
"http://localhost:9091/project/volcanos/source/366","Martinique","1397","1.482E1","-6.117E1","Pelee","W Indies","Stratovolcano"
"http://localhost:9091/project/volcanos/source/365","Mexico","3860","1.948E1","-1.0225E2","Paricutin Volcanic Field","Mexico","Cinder cone"
"http://localhost:9091/project/volcanos/source/364","Indonesia","2665","-7.32E0","1.0773E2","Papandayan","Java","Stratovolcano"
"http://localhost:9091/project/volcanos/source/363","Papua New Guinea","742","-5.58E0","1.5052E2","Pago","New Britain-SW Pac","Caldera"
"http://localhost:9091/project/volcanos/source/362","Indian Ocean","0","2.6E1","5.7E1","Ormus Islands","Arabia-S","Submarine volcano"
"http://localhost:9091/project/volcanos/source/361","United States","841","5.827E1","-1.5516E2","Novarupta","Alaska Peninsula","Caldera"
"http://localhost:9091/project/volcanos/source/360","Russia","1018","4.957E1","1.54808E2","Nemo Peak","Kuril Is","Caldera"
"http://localhost:9091/project/volcanos/source/36","Cameroon","4095","4.203E0","9.17E0","Cameroon, Mt.","Africa-W","Stratovolcano"
"http://localhost:9091/project/volcanos/source/359","Ecuador","4445","8.28E-1","-7.7964E1","Negro de Mayasquer, Cerro","Colombia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/358","Japan","1917","3.712E1","1.3997E2","Nasu","Honshu-Japan","Stratovolcano"
"http://localhost:9091/project/volcanos/source/357","Japan","979","2.985E1","1.2987E2","Nakano-shima","Ryukyu Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/356","Russia","2322","5.2453E1","1.58195E2","Mutnovsky","Kamchatka","Complex volcano"
"http://localhost:9091/project/volcanos/source/355","Portugal","-197","3.76E1","-2.588E1","Monaco Bank","Azores","Submarine volcano"
"http://localhost:9091/project/volcanos/source/354","Nicaragua","1297","1.2422E1","-8.654E1","Momotombo","Nicaragua","Stratovolcano"
"http://localhost:9091/project/volcanos/source/353","Chile","2422","-3.9927E1","-7.2027E1","Mocho-Choshuenco","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/352","Costa Rica","2028","1.0748E1","-8.5153E1","Miravalles","Costa Rica","Stratovolcano"
"http://localhost:9091/project/volcanos/source/351","Mexico","3860","1.948E1","-1.0225E2","Michoacan-Guanajuato","Mexico","Cinder cone"
"http://localhost:9091/project/volcanos/source/350","Tanzania","4565","-3.25E0","3.675E1","Meru","Africa-E","Stratovolcano"
"http://localhost:9091/project/volcanos/source/35","Chile","3164","-3.792E1","-7.145E1","Callaqui","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/349","Pacific Ocean","177","-2.233E1","1.7132E2","Matthew Island","SW Pacific","Stratovolcano"
"http://localhost:9091/project/volcanos/source/348","United States","1860","5.817E1","-1.5535E2","Martin","Alaska Peninsula","Stratovolcano"
"http://localhost:9091/project/volcanos/source/347","Ethiopia","600","1.238E1","4.22E1","Manda-Inakir","Africa-NE","Fissure vent"
"http://localhost:9091/project/volcanos/source/346","Russia","1560","5.413E1","1.5967E2","Maly Semiachik","Kamchatka","Caldera"
"http://localhost:9091/project/volcanos/source/345","Argentina","5264","-3.4161E1","-6.9833E1","Maipo","Chile-C","Caldera"
"http://localhost:9091/project/volcanos/source/344","United States","2165","5.82E1","-1.5525E2","Mageik","Alaska Peninsula","Stratovolcano"
"http://localhost:9091/project/volcanos/source/343","Papua New Guinea","858","-4.92E0","1.51158E2","Lolobau","New Britain-SW Pac","Caldera"
"http://localhost:9091/project/volcanos/source/342","Iceland","1570","6.448E1","-1.78E1","Loki-Fogrufjoll","Iceland-NE","Subglacial volcano"
"http://localhost:9091/project/volcanos/source/341","Indonesia","1423","-8.272E0","1.23505E2","Lewotolo","Lesser Sunda Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/340","Chile","3380","-4.902E1","-7.355E1","Lautaro","Chile-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/34","Philippines","1565","1.277E1","1.2405E2","Bulusan","Luzon-Philippines","Stratovolcano"
"http://localhost:9091/project/volcanos/source/339","United States","3187","4.0492E1","-1.21508E2","Lassen Volc Center","US-California","Stratovolcano"
"http://localhost:9091/project/volcanos/source/338","Papua New Guinea","1680","-8.95E0","1.4815E2","Lamington","New Guinea","Stratovolcano"
"http://localhost:9091/project/volcanos/source/337","Japan","1628","3.895E1","1.4078E2","Kurikoma","Honshu-Japan","Stratovolcano"
"http://localhost:9091/project/volcanos/source/336","China","5808","3.552E1","8.02E1","Kunlun Volc Group","China-W","Pyroclastic cone"
"http://localhost:9091/project/volcanos/source/335","Russia","1079","5.18E1","1.5753E2","Ksudach","Kamchatka","Stratovolcano"
"http://localhost:9091/project/volcanos/source/334","Russia","3528","5.4753E1","1.60527E2","Kronotsky","Kamchatka","Stratovolcano"
"http://localhost:9091/project/volcanos/source/333","Russia","3456","5.332E1","1.58688E2","Koryaksky","Kamchatka","Stratovolcano"
"http://localhost:9091/project/volcanos/source/332","Russia","2485","5.513E1","1.6032E2","Kizimen","Kamchatka","Stratovolcano"
"http://localhost:9091/project/volcanos/source/331","Japan","792","2.543E1","1.4123E2","Kita-Iwo-jima","Volcano Is-Japan","Stratovolcano"
"http://localhost:9091/project/volcanos/source/330","Indonesia","1511","-6.73E0","1.0665E2","Kiaraberes-Gagak","Java","Stratovolcano"
"http://localhost:9091/project/volcanos/source/33","United States","101","5.393E1","-1.6803E2","Bogoslof","Aleutian Is","Submarine volcano"
"http://localhost:9091/project/volcanos/source/329","Russia","1145","4.912E1","1.54508E2","Kharimkotan","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/328","Russia","1172","4.735E1","1.52475E2","Ketoi","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/327","United States","2047","5.827E1","-1.5498E2","Katmai","Alaska Peninsula","Stratovolcano"
"http://localhost:9091/project/volcanos/source/326","Iceland","1512","6.363E1","-1.905E1","Katla","Iceland-S","Subglacial volcano"
"http://localhost:9091/project/volcanos/source/325","Russia","1345","5.013E1","1.5537E2","Karpinsky Group","Kuril Is","Cone"
"http://localhost:9091/project/volcanos/source/324","United States","893","5.297E1","-1.6972E2","Kagamil","Aleutian Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/323","Indonesia","1952","-3.52E0","1.0262E2","Kaba","Sumatra","Stratovolcano"
"http://localhost:9091/project/volcanos/source/322","Japan","2041","3.985E1","1.41E2","Iwate","Honshu-Japan","Complex volcano"
"http://localhost:9091/project/volcanos/source/321","Chile","5050","-1.915E1","-6.883E1","Isluga","Chile-N","Stratovolcano"
"http://localhost:9091/project/volcanos/source/320","Japan","-200","2.4558E1","1.24E2","Iriomote-jima","Ryukyu Is","Submarine volcano"
"http://localhost:9091/project/volcanos/source/32","Russia","2882","5.5978E1","1.60587E2","Bezymianny","Kamchatka","Stratovolcano"
"http://localhost:9091/project/volcanos/source/319","Indonesia","1559","-8.73E0","1.2098E2","Inielika","Lesser Sunda Is","Complex volcano"
"http://localhost:9091/project/volcanos/source/318","Russia","1578","5.149E1","1.572E2","Ilyinsky","Kamchatka","Stratovolcano"
"http://localhost:9091/project/volcanos/source/317","United States","3053","6.003E1","-1.5308E2","Iliamna","Alaska-SW","Stratovolcano"
"http://localhost:9091/project/volcanos/source/316","Pacific Ocean","297","-2.24E1","1.7205E2","Hunter Island","SW Pacific","Stratovolcano"
"http://localhost:9091/project/volcanos/source/315","Chile","1318","-4.2377E1","-7.2578E1","Huequi","Chile-S","Stratovolcano"
